age,job,marital,education,default,housing,loan,contact,campaign,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
45,management,married,university.degree,no,no,no,telephone,5,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
60,blue-collar,married,basic.9y,unknown,yes,no,telephone,3,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
58,housemaid,single,professional.course,no,no,no,cellular,1,success,-1.8,93.749,-34.6,0.642,5008.7,0
42,entrepreneur,married,basic.9y,no,unknown,unknown,cellular,1,nonexistent,-1.8,92.843,-50,1.799,5099.1,0
41,management,married,university.degree,no,yes,no,cellular,1,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
47,technician,married,professional.course,no,no,no,cellular,2,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
42,blue-collar,married,basic.6y,unknown,no,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
52,management,married,high.school,unknown,yes,no,telephone,4,nonexistent,1.1,93.994,-36.4,4.855,5191,0
36,admin.,single,high.school,no,no,no,cellular,2,failure,-1.8,92.893,-46.2,1.327,5099.1,0
34,blue-collar,married,professional.course,unknown,yes,no,telephone,3,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
34,blue-collar,married,basic.4y,no,no,yes,telephone,2,failure,-1.8,92.893,-46.2,1.291,5099.1,0
37,admin.,married,university.degree,no,no,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
49,housemaid,divorced,basic.4y,no,no,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
60,retired,married,basic.4y,no,no,no,cellular,1,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,0
52,services,divorced,basic.4y,unknown,yes,yes,cellular,8,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
29,admin.,single,university.degree,no,no,no,cellular,3,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
56,blue-collar,married,basic.9y,unknown,no,yes,cellular,2,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0
23,admin.,single,professional.course,no,yes,no,cellular,1,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
46,admin.,married,high.school,no,no,yes,telephone,2,nonexistent,1.1,93.994,-36.4,4.857,5191,0
44,admin.,married,high.school,no,yes,yes,cellular,4,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
34,unemployed,single,high.school,no,yes,no,cellular,3,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,1
36,services,married,high.school,no,yes,no,cellular,1,success,-3.4,92.431,-26.9,0.739,5017.5,0
31,blue-collar,single,basic.9y,no,no,no,cellular,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0
48,services,divorced,basic.9y,no,unknown,unknown,cellular,7,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
31,student,single,university.degree,no,no,no,cellular,4,success,-1.7,94.027,-38.3,0.899,4991.6,1
41,management,married,high.school,no,no,no,cellular,2,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0
42,technician,married,basic.6y,no,yes,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.856,5191,0
31,services,single,high.school,unknown,yes,no,telephone,3,nonexistent,1.1,93.994,-36.4,4.86,5191,0
60,management,married,university.degree,no,no,no,telephone,2,nonexistent,1.4,94.465,-41.8,4.865,5228.1,1
45,entrepreneur,married,university.degree,unknown,yes,yes,cellular,2,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
88,retired,divorced,basic.4y,no,yes,no,cellular,1,nonexistent,-3.4,92.431,-26.9,0.735,5017.5,0
48,technician,married,unknown,no,yes,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.858,5191,0
31,management,single,university.degree,no,yes,no,cellular,2,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
40,technician,married,university.degree,no,no,no,cellular,4,failure,-1.8,92.893,-46.2,1.299,5099.1,0
42,blue-collar,married,basic.4y,no,no,no,cellular,10,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
23,technician,single,high.school,no,no,yes,cellular,1,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,1
37,admin.,single,university.degree,no,no,no,telephone,3,nonexistent,1.1,93.994,-36.4,4.857,5191,0
29,technician,married,university.degree,no,no,yes,cellular,1,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
31,technician,single,professional.course,no,no,no,cellular,2,failure,-1.8,92.893,-46.2,1.291,5099.1,0
34,unknown,married,basic.4y,no,yes,no,cellular,2,nonexistent,-1.8,93.075,-47.1,1.406,5099.1,0
34,admin.,married,high.school,no,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.857,5191,0
56,admin.,divorced,basic.6y,no,no,yes,cellular,8,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
21,student,single,high.school,no,yes,yes,cellular,1,nonexistent,-2.9,92.201,-31.4,0.884,5076.2,0
24,services,single,high.school,no,yes,no,cellular,1,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,1
53,technician,divorced,high.school,no,yes,no,cellular,4,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
49,self-employed,married,high.school,no,no,no,cellular,3,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
60,admin.,married,unknown,no,yes,no,cellular,1,success,-1.8,93.876,-40,0.682,5008.7,1
42,admin.,single,high.school,no,yes,no,cellular,4,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
45,admin.,single,high.school,no,yes,no,cellular,1,failure,-1.8,92.893,-46.2,1.327,5099.1,0
21,admin.,single,high.school,no,yes,no,cellular,1,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0
43,admin.,married,university.degree,no,no,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
40,management,married,university.degree,no,unknown,unknown,telephone,2,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
37,unemployed,single,university.degree,no,yes,no,cellular,2,success,-1.7,94.055,-39.8,0.742,4991.6,0
43,admin.,married,university.degree,no,yes,no,cellular,2,nonexistent,-1.8,92.843,-50,1.531,5099.1,0
29,services,single,high.school,unknown,yes,no,telephone,3,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
58,admin.,married,university.degree,no,yes,no,telephone,1,nonexistent,-1.1,94.601,-49.5,0.953,4963.6,0
40,admin.,single,high.school,no,yes,no,cellular,1,failure,-1.8,92.893,-46.2,1.244,5099.1,0
27,blue-collar,married,basic.9y,unknown,yes,yes,telephone,2,nonexistent,1.1,93.994,-36.4,4.857,5191,0
32,admin.,married,university.degree,no,yes,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
31,management,single,university.degree,no,no,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
34,blue-collar,married,basic.6y,unknown,yes,yes,cellular,2,failure,-0.1,93.2,-42,4.12,5195.8,0
30,blue-collar,divorced,basic.9y,no,no,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
57,admin.,divorced,university.degree,no,yes,no,cellular,2,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
52,blue-collar,married,basic.4y,no,no,no,cellular,1,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,0
31,blue-collar,married,basic.9y,no,yes,no,cellular,2,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
37,self-employed,married,professional.course,no,yes,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.86,5191,0
41,blue-collar,married,basic.9y,no,no,no,telephone,5,nonexistent,1.1,93.994,-36.4,4.86,5191,0
29,admin.,single,university.degree,no,yes,no,cellular,2,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
53,technician,married,unknown,no,yes,no,telephone,3,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
28,unemployed,married,professional.course,no,no,no,telephone,11,nonexistent,-2.9,92.201,-31.4,0.869,5076.2,0
58,management,divorced,university.degree,no,yes,no,cellular,1,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
36,blue-collar,married,basic.4y,unknown,no,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
56,blue-collar,divorced,basic.4y,no,yes,no,telephone,4,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
42,admin.,single,university.degree,no,yes,no,telephone,5,nonexistent,1.1,93.994,-36.4,4.857,5191,0
49,management,married,university.degree,no,no,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
36,unemployed,single,basic.4y,unknown,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.855,5191,0
40,admin.,married,professional.course,no,no,yes,telephone,1,nonexistent,1.1,93.994,-36.4,4.864,5191,0
42,services,married,high.school,no,yes,yes,telephone,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
36,technician,single,professional.course,no,no,yes,telephone,2,nonexistent,1.1,93.994,-36.4,4.858,5191,0
41,technician,married,professional.course,no,no,no,cellular,4,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
29,blue-collar,married,basic.9y,no,no,yes,cellular,1,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,1
41,technician,single,university.degree,unknown,no,no,telephone,3,nonexistent,1.1,93.994,-36.4,4.857,5191,0
27,blue-collar,married,basic.9y,no,yes,no,telephone,3,nonexistent,1.1,93.994,-36.4,4.856,5191,0
63,retired,divorced,university.degree,no,yes,yes,cellular,1,failure,-2.9,92.469,-33.6,1.072,5076.2,0
52,services,married,basic.9y,unknown,yes,yes,cellular,5,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
18,student,single,unknown,no,yes,no,cellular,1,success,-1.8,93.876,-40,0.677,5008.7,0
38,admin.,married,high.school,no,no,no,telephone,4,nonexistent,1.1,93.994,-36.4,4.857,5191,0
36,technician,married,university.degree,no,no,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
34,admin.,married,university.degree,no,yes,no,cellular,2,nonexistent,-2.9,92.201,-31.4,0.843,5076.2,0
28,unemployed,married,high.school,unknown,no,no,cellular,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0
40,technician,married,professional.course,no,yes,no,cellular,2,success,-1.8,93.075,-47.1,1.365,5099.1,1
31,blue-collar,single,unknown,no,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.86,5191,0
29,admin.,married,high.school,no,yes,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.855,5191,0
54,admin.,divorced,professional.course,no,yes,no,cellular,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0
48,technician,divorced,professional.course,no,yes,no,cellular,4,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
52,technician,married,professional.course,no,no,no,cellular,2,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
43,blue-collar,married,high.school,unknown,yes,no,cellular,1,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
40,admin.,single,university.degree,no,no,no,telephone,3,nonexistent,1.1,93.994,-36.4,4.857,5191,0
23,technician,single,professional.course,no,yes,no,cellular,5,failure,-3.4,92.649,-30.1,0.714,5017.5,0
32,blue-collar,married,basic.9y,unknown,no,no,telephone,3,nonexistent,1.1,93.994,-36.4,4.86,5191,0
38,admin.,single,basic.9y,no,yes,yes,cellular,2,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
45,technician,married,university.degree,no,yes,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
48,blue-collar,married,basic.9y,no,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.858,5191,1
38,management,divorced,university.degree,no,no,yes,cellular,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
32,admin.,single,high.school,no,no,yes,cellular,15,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
48,blue-collar,married,basic.9y,no,yes,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.856,5191,0
38,admin.,single,university.degree,unknown,yes,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.855,5191,0
30,services,married,high.school,no,yes,no,cellular,26,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
37,blue-collar,single,professional.course,no,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.858,5191,0
58,admin.,married,high.school,no,no,yes,telephone,2,nonexistent,1.1,93.994,-36.4,4.856,5191,0
39,admin.,married,high.school,no,yes,no,cellular,2,failure,-1.7,94.055,-39.8,0.702,4991.6,0
49,services,divorced,basic.9y,no,no,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.858,5191,0
58,admin.,married,high.school,no,yes,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
55,admin.,married,university.degree,no,no,no,cellular,6,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
33,technician,married,high.school,no,no,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
33,entrepreneur,married,university.degree,no,yes,no,cellular,7,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
28,services,single,high.school,no,yes,no,cellular,1,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
38,blue-collar,unknown,high.school,no,no,no,cellular,1,success,-1.8,92.893,-46.2,1.334,5099.1,0
34,technician,divorced,professional.course,no,no,no,cellular,4,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
32,admin.,single,university.degree,no,yes,no,cellular,2,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0
56,retired,married,basic.6y,no,yes,no,cellular,1,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
33,self-employed,married,basic.9y,no,no,no,telephone,4,nonexistent,1.1,93.994,-36.4,4.857,5191,0
30,blue-collar,single,high.school,no,no,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.857,5191,0
49,management,divorced,university.degree,no,no,no,cellular,5,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
33,technician,married,professional.course,no,no,no,cellular,4,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
34,admin.,single,university.degree,unknown,no,yes,cellular,3,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
40,entrepreneur,married,basic.9y,no,no,no,cellular,1,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
45,blue-collar,married,basic.9y,unknown,no,no,cellular,3,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
35,technician,single,basic.6y,no,unknown,unknown,telephone,2,nonexistent,1.1,93.994,-36.4,4.86,5191,0
42,management,married,university.degree,no,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.857,5191,0
46,management,married,university.degree,no,yes,yes,cellular,3,failure,-1.8,92.893,-46.2,1.327,5099.1,0
30,admin.,married,high.school,no,yes,no,cellular,6,nonexistent,1.4,93.918,-42.7,4.959,5228.1,0
33,admin.,single,university.degree,no,yes,yes,cellular,1,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
29,admin.,single,high.school,no,no,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
54,technician,divorced,professional.course,no,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.856,5191,0
52,services,married,basic.6y,no,no,yes,cellular,2,failure,-1.8,93.075,-47.1,1.405,5099.1,0
36,admin.,married,high.school,no,yes,no,cellular,1,nonexistent,-3.4,92.379,-29.8,0.766,5017.5,0
20,student,single,high.school,no,no,no,cellular,1,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,0
46,management,married,university.degree,no,yes,no,cellular,1,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
39,blue-collar,married,basic.4y,no,yes,no,cellular,4,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
46,services,divorced,high.school,no,no,no,cellular,2,failure,-1.8,93.075,-47.1,1.466,5099.1,0
39,housemaid,married,basic.4y,no,yes,yes,cellular,1,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
46,technician,married,professional.course,no,yes,no,cellular,6,failure,-2.9,92.201,-31.4,0.869,5076.2,1
30,technician,single,professional.course,no,no,no,cellular,1,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
45,admin.,married,basic.9y,no,yes,no,cellular,3,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
53,technician,married,professional.course,unknown,yes,no,cellular,8,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
42,technician,single,university.degree,no,yes,no,cellular,2,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
27,admin.,single,unknown,no,yes,no,cellular,3,success,-1.8,93.369,-34.8,0.639,5008.7,1
38,services,single,basic.9y,no,no,no,cellular,1,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
54,self-employed,married,university.degree,no,no,yes,cellular,1,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
23,student,single,high.school,no,no,no,telephone,2,nonexistent,-3.4,92.649,-30.1,0.722,5017.5,0
36,blue-collar,single,basic.9y,no,yes,no,cellular,2,failure,-0.1,93.2,-42,4.153,5195.8,0
52,services,divorced,basic.6y,no,yes,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
43,entrepreneur,divorced,professional.course,no,no,yes,cellular,2,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
52,technician,divorced,basic.9y,no,yes,yes,telephone,1,nonexistent,1.1,93.994,-36.4,4.858,5191,0
54,retired,married,basic.9y,unknown,no,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.859,5191,0
35,blue-collar,married,basic.9y,no,yes,no,cellular,14,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
30,blue-collar,married,basic.9y,no,yes,yes,telephone,1,nonexistent,1.1,93.994,-36.4,4.855,5191,0
28,blue-collar,married,basic.6y,no,yes,no,cellular,4,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,1
31,technician,single,university.degree,no,yes,no,cellular,1,nonexistent,-0.1,93.2,-42,4.191,5195.8,1
37,services,divorced,high.school,unknown,yes,yes,cellular,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
55,blue-collar,married,basic.4y,no,yes,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0
31,technician,single,university.degree,no,no,no,telephone,2,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
43,blue-collar,single,basic.4y,no,yes,no,telephone,2,failure,-1.8,92.893,-46.2,1.291,5099.1,0
54,technician,married,professional.course,unknown,no,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
43,unemployed,married,basic.9y,unknown,yes,no,telephone,4,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
33,admin.,married,university.degree,no,yes,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.858,5191,0
45,admin.,married,university.degree,no,unknown,unknown,cellular,6,failure,-3.4,92.379,-29.8,0.819,5017.5,0
29,services,divorced,high.school,no,yes,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.856,5191,0
30,blue-collar,married,basic.9y,no,no,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.858,5191,0
39,admin.,married,university.degree,no,yes,yes,telephone,1,nonexistent,1.1,93.994,-36.4,4.857,5191,0
31,admin.,married,university.degree,no,yes,no,telephone,2,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
40,blue-collar,married,basic.4y,unknown,yes,no,cellular,4,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
45,admin.,married,high.school,no,yes,no,telephone,2,nonexistent,1.4,94.465,-41.8,4.955,5228.1,0
46,technician,married,professional.course,no,yes,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.856,5191,0
51,technician,single,basic.9y,no,yes,no,telephone,3,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
27,services,single,high.school,unknown,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.855,5191,0
28,entrepreneur,married,basic.9y,no,no,no,telephone,3,nonexistent,1.1,93.994,-36.4,4.857,5191,1
46,admin.,married,high.school,no,no,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.864,5191,0
28,admin.,single,university.degree,no,no,no,cellular,1,nonexistent,-1.8,93.369,-34.8,0.643,5008.7,0
30,blue-collar,married,unknown,no,no,no,cellular,4,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
41,admin.,single,high.school,no,yes,no,cellular,1,success,-2.9,92.201,-31.4,0.861,5076.2,1
34,admin.,single,high.school,no,no,no,cellular,1,failure,-1.7,94.215,-40.3,0.802,4991.6,1
39,blue-collar,married,basic.9y,no,yes,no,cellular,3,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0
53,admin.,married,university.degree,no,yes,no,cellular,3,failure,-1.8,92.893,-46.2,1.299,5099.1,0
44,self-employed,married,high.school,unknown,no,no,cellular,11,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
40,housemaid,single,university.degree,no,no,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.86,5191,0
30,admin.,single,university.degree,no,no,no,cellular,4,nonexistent,1.4,93.444,-36.1,4.968,5228.1,1
28,unemployed,married,university.degree,no,yes,no,cellular,2,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
53,management,divorced,university.degree,no,no,no,cellular,2,success,-1.1,94.199,-37.5,0.877,4963.6,1
27,unemployed,married,high.school,no,no,no,telephone,2,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
32,entrepreneur,divorced,high.school,no,yes,no,cellular,2,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
45,technician,divorced,professional.course,no,no,no,cellular,3,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
52,admin.,married,university.degree,no,yes,no,telephone,2,failure,-1.8,93.075,-47.1,1.435,5099.1,0
58,services,divorced,high.school,unknown,yes,no,cellular,4,failure,-1.8,92.893,-46.2,1.344,5099.1,0
51,blue-collar,divorced,unknown,unknown,no,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
39,housemaid,married,basic.4y,unknown,yes,no,telephone,4,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
30,student,single,unknown,no,no,yes,telephone,1,success,-1.8,93.369,-34.8,0.637,5008.7,1
46,admin.,married,university.degree,no,yes,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0
52,services,married,basic.6y,no,no,no,cellular,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
38,blue-collar,divorced,unknown,no,no,no,cellular,1,nonexistent,-0.1,93.2,-42,4.153,5195.8,1
40,management,married,university.degree,no,yes,no,cellular,3,nonexistent,-2.9,92.963,-40.8,1.215,5076.2,1
42,technician,married,professional.course,no,yes,no,cellular,2,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
51,unemployed,married,high.school,no,yes,yes,cellular,3,nonexistent,-1.1,94.199,-37.5,0.883,4963.6,0
56,blue-collar,married,basic.4y,no,yes,yes,telephone,2,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
33,blue-collar,married,basic.4y,no,no,no,cellular,5,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
28,services,single,high.school,no,yes,no,cellular,2,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,0
88,retired,divorced,basic.4y,no,no,no,cellular,2,nonexistent,-1.8,92.843,-50,1.663,5099.1,1
35,admin.,married,high.school,no,yes,yes,telephone,3,nonexistent,1.1,93.994,-36.4,4.859,5191,0
38,technician,single,professional.course,no,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.856,5191,0
49,admin.,divorced,university.degree,no,yes,no,cellular,3,success,-3.4,92.379,-29.8,0.773,5017.5,1
75,retired,married,basic.9y,no,no,no,telephone,9,failure,-1.1,94.199,-37.5,0.883,4963.6,0
32,admin.,married,professional.course,no,yes,no,cellular,1,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,1
30,services,married,basic.9y,no,no,no,cellular,2,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
44,blue-collar,married,basic.9y,unknown,no,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.857,5191,0
37,blue-collar,married,professional.course,no,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.857,5191,0
47,technician,married,professional.course,no,yes,no,cellular,18,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
38,blue-collar,married,basic.9y,no,no,no,telephone,2,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
46,services,married,high.school,unknown,no,no,telephone,2,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
39,management,single,university.degree,no,yes,no,telephone,6,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
55,blue-collar,married,basic.4y,unknown,yes,no,telephone,5,nonexistent,1.1,93.994,-36.4,4.857,5191,0
48,services,married,high.school,no,yes,yes,cellular,3,nonexistent,-2.9,92.963,-40.8,1.286,5076.2,0
53,services,married,high.school,unknown,yes,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0
37,services,divorced,basic.9y,no,no,no,cellular,1,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
47,management,married,university.degree,no,yes,no,cellular,3,success,-1.7,94.027,-38.3,0.904,4991.6,0
46,admin.,divorced,university.degree,unknown,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.856,5191,0
42,technician,married,professional.course,no,no,no,cellular,2,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
39,admin.,married,high.school,no,yes,no,cellular,3,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0
48,blue-collar,married,basic.9y,no,yes,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.86,5191,0
40,blue-collar,married,basic.4y,unknown,yes,no,cellular,1,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
56,technician,married,basic.4y,no,no,no,cellular,1,success,-3.4,92.431,-26.9,0.733,5017.5,1
37,admin.,married,university.degree,no,yes,no,cellular,2,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
34,admin.,married,university.degree,no,no,no,cellular,2,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
34,admin.,married,university.degree,no,no,no,cellular,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0
51,blue-collar,divorced,basic.9y,no,yes,no,cellular,6,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
29,admin.,single,high.school,no,yes,no,cellular,1,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
45,blue-collar,married,basic.6y,no,yes,no,cellular,2,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
60,retired,married,high.school,no,no,no,cellular,1,nonexistent,-1.1,94.199,-37.5,0.876,4963.6,1
39,services,single,high.school,no,no,no,cellular,4,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
30,self-employed,married,basic.9y,no,no,no,telephone,3,nonexistent,1.1,93.994,-36.4,4.857,5191,0
39,technician,single,high.school,unknown,yes,no,cellular,6,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
60,retired,married,basic.9y,unknown,yes,no,telephone,3,nonexistent,1.1,93.994,-36.4,4.859,5191,0
48,unemployed,married,basic.6y,no,yes,no,cellular,1,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
51,technician,married,unknown,no,yes,no,telephone,3,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
49,blue-collar,single,basic.4y,no,yes,no,cellular,1,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
52,management,married,university.degree,no,yes,yes,cellular,1,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
34,services,married,high.school,unknown,no,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.856,5191,0
38,blue-collar,married,basic.9y,unknown,no,no,telephone,5,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
31,blue-collar,single,basic.9y,no,yes,no,cellular,1,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
30,technician,single,university.degree,no,no,no,cellular,3,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
